Student ID, Course Alloted
CE15B065,EE2025
CE15B066,EE2025
CE15B069,PH2170
CE15B070,EE2025
CE15B072,EE2025
CE15B073,BT2030
CE15B074,EE2025
CE15B076,BT2010
CE15B077,BT2030
CE15B078,PH2170
CE15B084,PH2170
CE15B085,PH2170
CE15B087,EE2025
CE15B088,EE2025
CE15B089,CE3242
CE15B092,PH2170
CE15B093,PH2170
CE15B095,PH2170
CE15B099,EE1100
CE15B100,PH2170
CE15B101,EE2025
CE15B102,PH3500
CE15B103,EE1100
CE15B104,EE1100
CE15B105,EE2015
CS15B001,PH3500
CS15B002,BT2012
CS15B005,BT2010
CS15B006,PH3500
CS15B007,BT2012
CS15B008,PH3500
CS15B010,PH3500
CS15B011,PH3500
CS15B012,CH2061
CS15B013,CH2061
CS15B015,BT1022
CS15B016,PH3500
CS15B017,PH3500
CS15B019,OE4340
CS15B020,PH3500
CS15B021,PH3500
CS15B022,OE4340
CS15B023,PH3500
CS15B024,CH2061
CS15B025,BT1022
CS15B026,OE4340
CS15B027,BT1022
CS15B028,PH3500
CS15B029,BT1022
CS15B030,BT1022
CS15B031,PH3500
CS15B032,EE2015
CS15B034,PH3500
CS15B035,BT1022
CS15B036,BT1022
CS15B037,BT2010
CS15B039,PH3500
CS15B040,BT1022
CS15B041,PH3500
CS15B042,BT1022
CS15B043,CH2061
CS15B044,CH2061
CS15B045,CH2061
CS15B046,PH3500
CS15B047,PH3500
CS15B048,PH3500
CS15B049,BT2012
CS15B050,CH2061
CS15B051,BT2030
CS15B052,PH3500
CS15B053,PH3500
CS15B054,CH2061
CS15B056,PH3500
CS15B057,CH2061
CS15B058,EP3200
CS15B059,CH2061
CS15B061,PH3500
EE15B011,PH3500
EE15B014,EP3200
EE15B015,EP3200
EE15B020,EP3200
EE15B022,EP3200
EE15B024,PH3500
EE15B025,EE4371
EE15B033,PH3500
EE15B038,PH3500
EE15B042,EP3200
EE15B043,PH3500
EE15B049,PH3500
EE15B050,PH3500
EE15B052,EE4371
EE15B060,PH3500
EE15B062,PH3500
EE15B064,PH3500
EE15B065,PH3500
EE15B069,EE4371
EE15B074,EE4371
EE15B080,PH3500
EE15B081,BT2012
EE15B082,EP3200
EE15B083,PH3500
EE15B084,BT2010
EE15B085,EE4371
EE15B086,BT2012
EE15B088,PH3500
EE15B089,BT2012
EE15B090,PH3500
EE15B091,EE4371
EE15B092,EE4371
EE15B093,EP3200
EE15B094,EE4371
EE15B096,EE4371
EE15B098,PH3500
EE15B099,BT1022
EE15B100,PH3500
EE15B101,EP3200
EE15B102,BT2012
EE15B103,PH3500
EE15B104,BT2012
EE15B105,EE4371
EE15B106,PH3500
EE15B108,BT2012
EE15B113,EE4371
EE15B115,PH3500
EE15B119,BT2010
EE15B120,EE3301
EE15B123,EE4371
EE15B124,EE4371
EE15B125,EE4371
EE15B127,EE4371
EE15B129,EE4371
EE15B130,EE4371
EE15B132,EP3200
EE15B134,EE4371
